Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return (%),7-Days Moving Average,30-Day Moving Average,Volatility (30-day std)
AAPL,2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,154.4142303466797,83322600,,,,
AAPL,2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,151.6884002685547,64120100,-1.7652737376545935,,,
AAPL,2023-02-09,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,150.63999938964844,56007100,-0.6911552556695955,,,
AAPL,2023-02-10,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,151.00999450683594,57450700,0.09279472007650558,,,
AAPL,2023-02-13,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,153.85000610351562,62199000,1.880677902118011,,,
AAPL,2023-02-14,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,153.1999969482422,61707600,-0.42249537178183916,,,
AAPL,2023-02-15,153.11000061035156,155.5,152.8800048828125,155.3300018310547,155.3300018310547,65573800,1.3903426404976438,152.9757123674665,,
AAPL,2023-02-16,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,153.7100067138672,68167900,-1.0429376798369527,152.84142848423548,,
AAPL,2023-02-17,152.35000610351562,153.0,150.85000610351562,152.5500030517578,152.5500030517578,59144100,-0.7546702305912589,152.93142918178015,,
AAPL,2023-02-21,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,148.47999572753906,58867200,-2.6679824600448265,152.59000069754464,,
AAPL,2023-02-22,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,148.91000366210938,51011300,0.28960664530148783,152.29000200544084,,
AAPL,2023-02-23,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,149.39999389648438,48394200,0.32905125399556034,151.65428597586495,,
AAPL,2023-02-24,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,146.7100067138672,55469600,-1.8005269695533066,150.7271445138114,,
AAPL,2023-02-27,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,147.9199981689453,44998500,0.8247504598905886,149.66857256208147,,
AAPL,2023-02-28,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,147.41000366210938,50547000,-0.3447772533457294,148.76857212611608,,
AAPL,2023-03-01,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,145.30999755859375,55479000,-1.4246021649447993,147.73428562709265,,
AAPL,2023-03-02,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,145.91000366210938,52238100,0.41291453691869595,147.36714390345983,,
AAPL,2023-03-03,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,151.02999877929688,70732300,3.5090089703815774,147.67000034877233,,
AAPL,2023-03-06,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,153.8300018310547,87558000,1.853938339660255,148.30285862513952,,
AAPL,2023-03-07,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,151.60000610351562,56182000,-1.4496494188358522,149.00142996651786,,
AAPL,2023-03-08,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,152.8699951171875,47204800,0.837723590066819,149.7085723876953,,
AAPL,2023-03-09,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,150.58999633789062,53833600,-1.4914625839747453,150.16285705566406,,
AAPL,2023-03-10,150.2100067138672,150.94000244140625,147.61000061035156,148.5,148.5,68572400,-1.38787196275717,150.61857169015067,,
AAPL,2023-03-13,147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,150.47000122070312,84457100,1.3266001486216261,151.26999991280692,,
AAPL,2023-03-14,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,152.58999633789062,73695900,1.408915464869298,151.49285670689173,,
AAPL,2023-03-15,151.19000244140625,153.25,149.9199981689453,152.99000549316406,152.99000549316406,77167900,0.26214638237991306,151.37285723005022,,
AAPL,2023-03-16,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,155.85000610351562,76161100,1.8694035607962345,151.98000008719308,,
AAPL,2023-03-17,156.0800018310547,156.74000549316406,154.27999877929688,155.0,155.0,98944600,-0.545400109224925,152.28428649902344,,
AAPL,2023-03-20,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,157.39999389648438,73641400,1.5483831590221708,153.25714329310827,,
AAPL,2023-03-21,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,159.27999877929688,73938300,1.1944122971497162,154.7971431187221,151.63799997965495,
AAPL,2023-03-22,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,157.8300018310547,75701800,-0.9103446505241086,155.84857177734375,151.74400024414064,1.4292636573777744
AAPL,2023-03-23,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,158.92999267578125,67622100,0.6969466083539766,156.75428553989954,151.97766672770183,1.3899365891805697
AAPL,2023-03-24,158.86000061035156,160.33999633789062,157.85000610351562,160.25,160.25,59196500,0.8305589788276002,157.7914276123047,152.29033355712892,1.3855712114148042
